ID,Description,Entry_ID,Comment,Grammar_Comment,Media_IDs,Semantic_Domain,Synonym,alt_translation2
SN000919,sleep; lie,goroho,,,5b1592d8c6d86ac16719d3cf15e404e0,body & health,,
SN000920,sleep on something; use something for sleeping,goroho_ni,,,,body & health,,
SN000921,fast asleep,goroho_tasusu,,,,body & health,,
SN000922,fast asleep,goroho_umee,,,,body & health,,
SN000923,lie down and have a rest,goroho_vaavuriha,,,,body & health,,
SN000924,sleep hidden somewhere,goroho_varavihi,,,0796abc3d1775cc8a546776711974d50,body & health,,
SN000925,sleep being exhausted from something,goroho_vaveavea_ni,,,21b2aec22caf2f4b19186453a17e35aa,body & health,,
SN000926,turtle,goroto,,,ebc22a12743ace73c4b5049464121334 ; baf42df06c50bf9728a76feabe5c0939,"animals, reptiles",,
SN000927,sprouting leaf,gosi,,,,plants,,
SN000928,sprouting leaf of the sago palm,gosi_atovo,,,46a0d9331dd04067fe78a1fd2d81358b,plants,,
SN000929,sprouting leaf of the nipa palm,gosi_basu,,,0a1afb054a65b4fd1f7fb3534feb0547,plants,,
SN000930,sprouting leaf of the coconut palm,gosi_overe,,,b8264a045239b5d122bf86849297645d,plants,,
SN000931,sprouting leaf of the sea poison tree,gosi_poosusu,,,686bf7a4e64397fc378617ac944e00e2,plants,,
SN000932,"tree that is normally associated with regrowth, grows to about 30 m height, seeds can be eaten",goton,,,67e6d76ef2c8d97cc49dc3b691cce5c1 ; cbfe14a36f7844a41cc30ecd5e63afa1 ; ebee6188e879cb15d7b1f89bc05db19e,plants,,sterculia schumannia
SN000933,kind of lizard,gotoo,,,603354739856bdc799c2a11abb98f111,"animals, reptiles",,
SN000934,be eaten away by sores,govaa,,,ca0748645569b04a1363b92df8b190d6,body & health,,
SN000935,carve the pointed ends of a canoe into shape,govagovara,,,,cutting,,
SN000936,pointed end of a canoe at the bow and the stern,govara_1,,,b8af626978d88ac90e521d988cc6736e,boats & other means of transport,,
SN000937,carve the pointed ends of a canoe into shape,govara_2,,,b8af626978d88ac90e521d988cc6736e ; 9e5e998229fce2f4d5fcf12f381f593f,cutting ; boats & other means of transport,,
SN000938,cut the head off a person or animal; behead,govara_3,The direct object refers to the person or animal or to the head.,,210ef86c5601ff873c726e6725874b82,cutting,,
SN000939,"hole (in the sand; soil; ground); for example, holes dug by crabs",govee,,,1251260e20571c31236b0ac57d054142,environment,,
SN000940,stone with a hole,govihoo,the meaning is not quite clear,,,environment,,
SN000941,crown of a tree; upper end,govuhu,,,8797a77a8a3d252f2d1f8d20afa7e1c6,plants,,
SN000942,big mullet,guhaguha,,,6a2dff275ed602f8716663e0388f1648,"animals, fishes",,
SN000943,go down; go ashore; land,gunagunaha,,,,motion,,
SN000944,go or come down; go or come down from the mountains to the beach,gunaha,,,,motion ; spatial relations,,
SN000945,come ashore,gunaha,,,,,,
SN000946,go down passing somebody,gunaha_oha,,,,motion,,
SN000947,go down from a place,gunaha_taneo,,,,motion ; spatial relations,,
SN000948,wake somebody up; start an engine,gune,,,,unclassified,,
SN000949,raise the idea,gunegune_o_upeupehe,,,,cognition,,
SN000950,"(of voice) low-pitched, bass tone",gununu,,,,sound,,
SN000951,"growl, snarl",gurara,,,,sound,,
SN000952,yell; shout,guru,,,,communication,,
SN000953,yell at someone; shout at someone,guru_ki,,,,communication,,
SN000954,shout at someone,guru_taono,,,,communication,,
SN000955,loudly yell at somebody,guru_vabeera_ki,,,,communication,,
SN000956,shout several times,guruguru,,,,communication,,
SN000957,flame up; burn very quickly; light up quickly,gururu,,,,fire,,
SN000958,pig; pork,guu_1,,,d94027a401427cca3d06bedc15fab4cd ; b9e9ae826b207551b093f6f4f1b47db7,"animals, mammals",,
SN000959,pigfish,guu_2,,,,"animals, fishes",,Bodanidae
SN000960,kind of large crab,guvi_1,,,42c32b86049ed486d81ad9b93aa6448d ; f6510f566e1a4509fd8040391c9c0313 ; b3922ff117b8b17eb5f2e2b081c6aaeb,"animals, unclassified",,crustacea
SN000961,container made from a coconut shell,guvi_2,,,b6daa51bec933c179a1bb44be50bf7dc,containers,,
SN000962,question tag,ha,,,,communication,,
SN000963,not,haa,"<haa> is the second part of a disjunctive negation whose first part (NEG1) is <sa>, <saka> or <samin>. The constructions with a disjunctive negation always form the predicate of a clause.",,,negation,,
SN000964,again,haabana,,,,unclassified,,
SN000965,"passageway; place where the reef ends and the ocean meets, creating a natural passageway that is used to launch canoes into the ocean",haan,,,,environment,,
SN000966,not,haana,The second part of a disjunctive negation <sa/saka...haa> hosts the clitic imperfective aspect marker <na>.,,,negation,,
SN000967,not,haara,The second part of a disjunctive negation <sa/saka...haa> hosts the clitic imperfective aspect marker of the 1st person plural inclusive,,,negation,,
SN000968,not,haari_1,The second part of a disjunctive negation <sa/saka...haa> hosts the clitic imperfective aspect marker of the 3rd person plural,,,negation,,
SN000969,not,haari_2,The second part of a disjunctive negation <sa/saka...haa> hosts the clitic object marker <ri> for 3rd person plural objects .,,,negation,,
SN000970,hat,haata,,,,clothing & grooming,,
SN000971,tail feather of a rooster,haba_toa,,,d2b70b7f5dd4faf284008a9390a9cf71,"animals, birds",,
SN000972,again,habana,,,,unclassified,,
SN000973,board; go on board; get into a boat or car; ride a horse,hae_1,,,b25ba0e0b4ad8f621a7b732830f23594 ; 64ac70463ca095806e0f5f49deeee1e2,motion,,
SN000974,come in (of fish coming into the lagoon),hae_1,,,,motion,,
SN000975,(of firewood) pile; bundle,hae_2,,,54a2dca292428d95914a76cfaca4585b,fire ; groups & collections,,
SN000976,how,hae_3,short form of <havee>,,,grammar,,
SN000977,take somebody or something on board with oneself,hae_mi,,,,transfer,,
SN000978,pile of firewood; bundle of firewood,hae_naono,,,8cc2b57f66ce019538deda2c7af4d30c ; 54a2dca292428d95914a76cfaca4585b,fire,,
SN000979,cross over by boat,hae_pahana,"In many examples the object of <pahana>, a river, the lagoon, or the bay) is understood by the context.",,,motion ; spatial relations,,
SN000980,kind of suckerfish,haeasita,,,9e7d9d1faf8b2b53d0f00cf0bc25843e,"animals, fishes",,Echeneidae
SN000981,adult drummer fish,haehae_1,,,a51551495d172f870a30fa08a02bbc7b,"animals, fishes",,Kyphosidae
SN000982,board (many times; many people),haehae_2,,,,motion,,
SN000983,store firewood (somewhere),haehae_ni,,,,transfer,,
SN000984,laugh; giggle,haesi,,,,emotions,,
SN000985,grin,haesi_vamuumuu,,,,body & health,,
SN000986,hook a fruit down with a stick,hagara,,,,transfer,,
SN000987,dance,hagi_1,,,a6241edeae17ec42fb13c57fb97b5525,motion ; culture,,
SN000988,dance (performance),hagi_2,,,,culture,,
SN000989,dance with someone or something,LX000009,,,,culture,,
SN000990,dance with something,hagi_ni,,,,culture,,
SN000991,dance for someone,hagihagi_ki,,,,motion,,
SN000992,"beach (of a raft, canoe, boat, or ship); be beached (of a whale)",hagoro,,,386f407bcc868d7f084186b3f83ece3c ; 822bdff48f46618f10ddbf0828d17f0b,motion,,
SN000993,go or come back empty-handed; return without having achieved anything,haha_1,,,,motion,,
SN000994,"stop, end at a certain place, have a stop over",haha_2,,,,motion,,
SN000995,help someone many times,hahaihai,,,,social interaction,,
SN000996,nest,hai_1,,,6780df9f3c381b68f8ec762e5037cb53 ; 4746bf37d933743a3caa09406519f5a7,"animals, birds ; animals, insects",,
SN000997,nest; build a nest,hai_2,,,,"animals, birds",,
SN000998,help,haihai_1,,,,social interaction,,
SN000999,assistance,haihai_2,,,,social interaction,,
SN001000,sweep (rubbish or a place),hake,,,,unclassified,,
SN001001,(of chicken) scratch the ground with the claws,hake,,,,,,
SN001002,sweep and level out a place,hake_vamomooraa,,,,unclassified,,
SN001003,(of chickens) scratch the ground for the chicks,hakehake_ki,,,,"animals, birds",,
SN001004,cloth used to carry a child on the back,hakepe,,,2cd4ee114a1e67693c0a3ffc51c673f0,unclassified,,
SN001005,"push one's way through a crowd of people, push people back in a crowd",hakuperete,,,,unclassified,,
SN001006,push,hakuperete_ni,,,,unclassified,,
SN001007,hang; be caught,hana,,,286dbbe4575b9fae74b2abe7330d8d87,position,,
SN001008,hang down,hana_gunaha,,,,position,,
SN001009,hang on something,hana_ni,,,,spatial relations,,
SN001010,area where you can walk at low tide,hana_taataana,,,959ee76175a9cf6add18b07fbab10a8e,environment,,
SN001011,hang upside down,hana_vasuruvu,,,8bdd30b8980aaf94ea6556e5b0d510ec ; 0d1068019925cc7472ab655c129f2908,position,,
SN001012,hang; be caught in the net,hanahana,,,,position,,
SN001013,roads,hanahanana,,,,environment,,
SN001014,free someone,hanakahi_ni_1,,,,unclassified,,
SN001015,weed a place,hanakahi_ni_2,,,,agriculture,,
SN001016,"road, track, way; method",hanana,,,5efd364908b0664b268694f58d10eadf ; 69081b23a8abca854f3a82ef0d9103ef,environment,,
SN001017,path across the reef,hanataana,,,,environment,,
SN001018,stinging nettles,hanatono,,,71a53d1cd7188a728c3b70f4a6b541dd,plants,,dendrocnite species
SN001019,catch something that otherwise would fall to the ground,hanono,,,,unclassified,,
SN001020,kind of wrasse,haopi,,,0796abc3d1775cc8a546776711974d50,"animals, fishes",,Labridae
SN001021,cut off a protruding part of something,hape,,,,cutting,,
SN001022,cut something off something,hape_kahi,,,,removal,,
SN001023,kind of tree that grows in the forest,hapeana,,,0194d81d08ff943afc0076a9c99772e4,plants,,
SN001024,cut branches off a tree,hapehape_1,,,,cutting,,
SN001025,loincloth,hapehape_2,,,,clothing & grooming,,
SN001026,"spread, distribute, or scatter something",hapuru_ni,,,,transfer,,
SN001027,"be full, be filled up",hapusu,,,,containers,,
SN001028,full of something,hapusu_ni,,,,unclassified,,
SN001029,feel; sense; notice,haraa_1,,,,perception,,
SN001030,grey beach crab,haraa_2,,,c9e78852a5de03201aa85748cb74bcc8 ; e801eb980577a1e36129f5b520e7902d,"animals, unclassified",,crustacea
SN001031,feel bad,haraa_vahata,,,,perception,,
SN001032,find something difficult,haraa_vahihivaa,,,,unclassified,,
SN001033,miss something; feel that something is not there,haraa_vahiki,,,,emotions,,
SN001034,feel nothing; do not feel anything,haraa_vahiki,,,,perception,,
SN001035,feel sick,haraa_vakamisi,,,,perception ; body & health,,
SN001036,feel good,haraa_vamataa,,,,body & health,,
SN001037,feel well,haraa_vaneneesi,,,,perception,,
SN001038,be worried about,haraa_vaponis_ni,,,,perception,,
SN001039,feeler; antennae,haraharaa_1,,,,"animals, insects",,
SN001040,feelings; what a person feels,haraharaa_2,,,,body & health,,
SN001041,feel like doing something,haran,,,,emotions,,
SN001042,tempt someone; persuade somebody to do something,hare,,,,communication,,
SN001043,"(of fish) escape, retreat into a hiding place",haropo,,,,motion,,
SN001044,"run out of something, be short of something",harusu_ni,,,,unclassified,,
SN001045,bad,hata_1,,,d7d4d006ede0c5643a0c395ac926e820 ; 2db563ed5b16298c5907f75ad4cd73a1,evaluation,,
SN001046,evil; crime,hata_2,,,,unclassified,,
SN001047,sin,hata_3,,,,unclassified,,
SN001048,be bad with respect to some situation,hata_kaakoo,,,,evaluation,,
SN001049,become extremely bad,hata_oha,,,,evaluation,,
SN001050,ailment,hata_suinina,,,,body & health,,
SN001051,bad (said of many things),hatahata,,,,evaluation,,
SN001052,swamp,hatana,,,8ce7264cd3f203d8ce3499963947f366 ; 124c7dbb23d71b0dd4cabafb60d8f664,environment,,
SN001053,not,hau,,The second part of the disjunctive negation < sa/saka...haa > hosts the enclitic immediateness marker < u.>.,,negation,,
SN001054,kind of unicorn fish,havanao,,,c6537daf81ce1d9d77882ed6e581c423 ; e99038e6948efc5f20ca1aded3fb90a6,"animals, fishes",,Acanthuridae
SN001055,pick (betelnuts); harvest (betelnuts),have,,,abdc766b11bf94fe2d477fbc69206e43 ; 4626d95e451b83376e4f274f6cc751d1,agriculture,,
SN001056,where?,havee,,,,spatial relations ; questions,,
SN001057,"what will, should or shall someone do?",havee_to_kahi_paku_vo,"The preposition <vo> 'like' takes an adverb, adverb construction. prepositional phrase or the relative pronoun <to> as its complement, which translates as a direct object in the combination with <paku> 'do'. Literally <havee to kahi paku vo> could be translated by 'what (is it) that ... will/should/shall do?)",,,questions,,
SN001058,what did someone do?,havee_to_paa_paku_vo,"The preposition <vo> 'like' takes an adverb, adverb construction. prepositional phrase or the relative pronoun <to> as its complement, which translates as a direct object in the combination with <paku> 'do'. Literally <havee to paa paku vo> could be translated by 'what (is it) that ... did?'",,,questions,,
SN001059,what does someone do with somebody or something?,havee_to_paku_mi,,,,questions,,
SN001060,how does somebody do something?; how somebody does something,havee_to_pakupaku_vaavaha_me,,,,questions,,
SN001061,how somebody does something,LX000010,,,,questions,,
SN001062,how,LX000011,,,,questions,,
SN001063,how far,LX000012,,,,spatial relations ; questions,,
SN001064,where (to); what for; where from,LX000013,,,,spatial relations ; questions,,
SN001065,how,LX000014,,,,questions,,
SN001066,how far,LX000015,,,,spatial relations ; questions,,
SN001067,pick many betelnuts,havehave,,,06c2825032b98f606e11f630711a6203,plants,,
SN001068,black freshwater shellfish species,havi_1,,,6302ce1e856435c4275eea2a64db8e1f,"animals, shellfish",,
SN001069,wipe or rub someone/something (with something),havi_2,,,,unclassified,,
SN001070,wipe something off something or someone,havi_kahi,,,,removal,,
SN001071,wipe or rub something (somewhere),havi_ni,,,,transfer,,
SN001072,whereas; while; when; but,he,<he> occupies the position after the first NP in a clause that expresses a contrast to what is said in a preceding or following clause.,,,grammar,,
SN001073,give somebody something,hee,,,,transfer,,
SN001074,surrender,hee_komana_ni,,,,social interaction,,
SN001075,give something,hee_ni,,,,transfer,,
SN001076,swap something; exchange something,hee_vanaavihu_ni,,,,economics,,
SN001077,give someone many things,heehee_1,,,,transfer,,
SN001078,generous; giving,heehee_2,,,,unclassified,,
SN001079,give many things,heehee_ni,,,,transfer,,
SN001080,gills,heehena,,,cd6155186577dd63a009ba883f024b88 ; aa470f5dc461080221e45dd53a9c38eb,body & health,,
SN001081,name,hena,"n2 in inalienable possessive constructions, otherwise n3.",,,unclassified,,
SN001082,general name,hena_beera,,,0796abc3d1775cc8a546776711974d50,unclassified,,
SN001083,first name,hena_momohu,,,,culture,,
SN001084,have a particular name because of something,hena_suku,,,,unclassified,,
SN001085,new name given to boys who have gone through the upee initiation ceremony,hena_upee,,,,culture,,
SN001086,name of somebody,henana,,,,unclassified,,
SN001087,my name,henanaa,,,,unclassified,,
SN001088,feel the pain (of corporal punishment),hereke,,,,perception,,
SN001089,get something with the help of a stick,herepe,,,,transfer,,
SN001090,angry,hevee_1,,,,emotions,,
SN001091,anger,hevee_2,,,,emotions,,
SN001092,be angry with somebody,hevee_ni,,,,emotions,,
SN001093,short-tempered,hevehevee,,,,emotions,,
SN001094,bunch (of bananas or betel nuts),hian,,,f327e46418fc33b108e6483d3184a68c ; 2dd26c3b07d22085b912d1be10e85b8f,groups & collections,,
SN001095,beach rake; a hammer-shaped wooden instrument used for cleaning and tidying the beach,hiana_1,,,0dfbf3666a3f8d9aa513693dc6b1c534,tools & weapons,,
SN001096,hammer shark,hiana_2,,,7a9134d2352aa8dc76dc80427d2b0754,"animals, fishes",,Sphyrnidae
SN001097,rake the beach (removing the rubbish),hiana_3,,,,unclassified,,
SN001098,intestines of animals,hiapa,,,ebc22a12743ace73c4b5049464121334,body & health,,
SN001099,go up (to a place in the mountains); move upwards,hiava,,,,motion ; spatial relations,,
SN001100,go up (to a place in the ocean),hiava,,,,,,
SN001101,go up inland,hiava_vahiava,,,,motion,,
SN001102,instead,hibaa,,,,unclassified,,
SN001103,use something instead of something else for doing something,hiban_ni,,,,unclassified,,
SN001104,"disapprove, reject; rebuff",higan,,,,unclassified,,
SN001105,remove or pull out the fibres (from a tree or from vines to make a string),hihi,,,25b579f3232577e76a5631dc78b0d257,removal,,
SN001106,pull or peel the bark or fibres off a tree or vine,hihi_kahi,,,,removal,,
SN001107,net needle,hihiana,,,0a2473d5768d36488daaab999d15f74f,tools & weapons,,
SN001108,"remain seated, sit down for a while",hihio,,,,position,,
SN001109,hot,hihivaa,,,,physical properties,,
SN001110,difficult,hihivaa,,,,,,
SN001111,difficult for somebody,hihivaa_ki,,,,unclassified,,
SN001112,"taste spicy; hot; or bitter (like ginger, chili, etc.)",hii,,,,food & drink ; perception,,
SN001113,go up regularly,hiihiava,,,,motion,,
SN001114,ginger,hiihii,,,54da21c9e40a5900c2511c37e4c0d9c2 ; e8dbf3ecb74f22ca6e6276cee814e073,plants ; food & drink,,
SN001115,sit (habitually),hiihio,,,,position,,
SN001116,be located; be somewhere,hiihio,,,,,,
SN001117,its flower,hiirunae,,,98a07256b4e80ee112629e23fe647a87,plants,,
SN001118,basil,hiiruu_1,,,7cf6cb605189d186fed8aa3248799d61 ; 14c8f5f43258816c8400bd7fea1aa8f5,plants,,
SN001119,(of certain trees) bloom; blossom,hiiruu_2,,,98a07256b4e80ee112629e23fe647a87,plants ; growth,,
SN001120,flower; blossom,hiiruu_3,,,,plants,,
SN001121,blossom of the mango tree,hiiruu_bai,,,4ba448c7f9651c0d51171cd616d64034,plants,,
SN001122,blossom or flower of the cocoa tree,hiiruu_kaakau,,,98a07256b4e80ee112629e23fe647a87 ; afe368a90c4504626b554ad91964fc06,plants,,
SN001123,blossom of the beach tree called pediri,hiiruu_pediri,,,1435c77e90f2e11cfb8bc6da8a562235,plants,,
SN001124,blossom of the blackbord tree,hiiruu_sinivi,,,f69c299b94fd94e45ca0396a65973236,plants,,
SN001125,have white flowers,hiiruu_vakakaavoo,,,98a07256b4e80ee112629e23fe647a87,plants,,
SN001126,"not exist, not be there, not have",hiki_1,,,,negation,,
SN001127,lack; absence,hiki_2,,,,negation,,
SN001128,not have a thing or things,hiki_ni,,,,negation,,
SN001129,be speechless,hiki_ta_koara,,,,communication,,
SN001130,without thorns,hiki_toutou,,,,physical properties,,
SN001131,not have a thing or things,hikihiki,,,,negation,,
SN001132,not have a thing or things,hikihiki_ni,,,,negation,,
SN001133,be without anybody; deserted,hikihikina,,,,negation,,
SN001134,(of the village) deserted; empty,hikikina_1,,,,negation,,
SN001135,loneliness,hikikina_2,,,,unclassified,,
SN001136,kind of cowry,hikoon,,,bdf93ef9a8aa982d790f9d8640af5613 ; 3e01cabf7ca1f80060586892807bce2b,"animals, shellfish",,
SN001137,kind of seaperch,hinae,,,4d7e3461d4d0f2940cbb0fd57e059f10,"animals, fishes",,Latidae
SN001138,footprints,hinave_1,,,,body & health,,
SN001139,follow somebody's tracks; track footprints,hinave_2,,,,motion,,
SN001140,ask (somebody for something); request (something from somebody),hino,,,,communication,,
SN001141,bride price,hino_von,,,,culture,,
SN001142,sit; stay,hio_1,,,,position,,
SN001143,meeting,hio_2,,,,goups & collections,,
SN001144,sit and wait for somebody,hio_ihuana,,,,position,,
SN001145,sit somewhere,hio_kaakoo,,,,motion,,
SN001146,funeral of a chief with a big feast and the biusu dance performed by the women of the chief's clan,hio_mate,,,,culture,,
SN001147,observe the girls' initiation ritual,hio_maurata,,,,culture,,
SN001148,sit together with someone,hio_me,,,,social interaction,,
SN001149,sit on the bottom or the legs,hio_ni,,,c5a88ea902437ea93063e401f8ca6e9f,position,,
SN001150,keep somebody away by one's presence,hio_pina,,,,social interaction,,
SN001151,sit idly around,hio_pinopino,,,,position,,
SN001152,sit or be close to something,hio_rihina,,,,position,,
SN001153,"settle along the coast line, be established along the coastline",hio_taataana,,,,environment,,
SN001154,sit in front of the house,hio_vaa_matana_inu,,,,position,,
SN001155,sit somewhere in large numbers,hio_vaberobero,,,,position,,
SN001156,sit uncomfortably,hio_vahata,,,,position,,
SN001157,sit firmly somewhere; be strongly fixed in position,hio_vakikis,,,,position,,
SN001158,stay separately,hio_vakirikiri,,,3aaf8bab75a9101457326662fbcbb0da,position,,
SN001159,sit well; sit properly,hio_vamataa,,,,position,,
SN001160,sit (somewhere) until dawn,hio_vatakaha,,,,position,,
SN001161,sit with bent legs,hio_vatarigun,,,,position,,
SN001162,sit together somewhere; be situated somewhere; be found,hiohio,,,,position,,
SN001163,sit on something (e.g. the bottom),hiohio_ni,,,f04c372dc6770b67f8beddc53a2155b4,position,,
SN001164,sit together in a group,hiohio_vaagum,,,,position,,
SN001165,(stick for) husking coconuts; (stick for) catching sea-sausages,hiovu,"<hiovu> only occurs as the second part of the compounds <hum hiovu>, <pusu hiovu> and <ta hiovu>.",,,tools & weapons,,
SN001166,plant with long leaves like the banana plant and the heliconia indica,hiraata,,,6bcf15457fd0f2e3284f5b3f15dd6a0f ; a6b423334997d48f29c739c5156bbabf,plants,,
SN001167,get excited,hirare,,,,emotions,,
SN001168,crawl,hiri,,,7d89bbe3517e1b3d30da23f6cc45cffa ; c9e78852a5de03201aa85748cb74bcc8,motion,,
SN001169,crawl on one's feet or legs,hiri_ni,,,,motion,,
SN001170,crawl out of something,hiri_tavusu_kahi,,,,motion,,
SN001171,crawl in large numbers,hiri_vaberobero,,,,motion ; quantification,,
SN001172,Scribbled Rabbitfish,hiroana,,,f0f73db772e1054ac9bbb49124090409 ; ca1297aa49f28c3b182e2d00da0ca5a4,"animals, fishes",,Siganus Spinus ; Siganidae
SN001173,soup,hiroo_1,,,,food & drink,,
SN001174,drink something as soup,hiroo_2,,,,consumption,,
SN001175,inhale,hirupu_hiava,,,,body & health,,
SN001176,set fire to something; ignite,hiupu_ni,,,67fd5d52dd6bcb481cc1c59522bc8aaf,fire,,
SN001177,ask someone something; ask someone about something,hivi_1,,,,communication,,
SN001178,question,hivi_2,,,,communication,,
SN001179,ask angrily,hivi_hiava,,,,emotions,,
SN001180,ask a question about somebody or something,hivi_ni,,,,communication,,
SN001181,wait (for somebody or something),hivuana,In [Aro 05E(Eno) 130] the proofreaders replaced <ihuana> for <hivuana>.,,,unclassified,,
SN001182,be waiting for somebody or something,hivuhivuana,For the final version of (Sii Eno 01W 140) the proofreaders replaced word hivuhivuana by <ihuihuana>.,,,unclassified,,
SN001183,passage (in the reef),hoa_1,,,,environment,,
SN001184,(of the wind) blow (at somebody or something),hoa_2,,,,unclassified ; environment,,
SN001185,grow and come out; arise,hoa_3,,,,growth ; environment,,
SN001186,push something somewhere,hoa_4,,,,transfer,,
SN001187,push somebody down with something,hoa_gunagunaha,,,,unclassified,,
SN001188,push something,hoa_ni,,,,unclassified,,
SN001189,(of the reef) grow out of the water,hoa_takin,,,2ebf6c0295daab5dd47a5e84f692a3a2,growth,,
SN001190,push and make somebody or something fall somewhere,hoa_vaakuu,,,,transfer,,
SN001191,(of the hurricane) blow someone or something down,hoa_vaakuu_ni,,,,transfer,,
SN001192,push something and let it float; push something afloat,hoa_vaaoro_ni,,,,motion,,
SN001193,blow strongly,hoa_vabeera,,,b04182ab8f17c8b02dcb8267fc067aa4,environment,,
SN001194,bench used in ceremonies,hoa_vadana,,,dbbc8d0a98f4d03a6bff350bd6230d2a ; 90a0e7c004899cac2696c0c722f4fa5a ; 5b1592d8c6d86ac16719d3cf15e404e0,house,,
SN001195,grow in the opposite direction,hoa_vanaavihu,,,,growth,,
SN001196,push something and let it float; push something afloat,hoa_vaoro,,,,motion,,
SN001197,stub one's toe against something,hoa_vatagevo_ni,,,,unclassified,,
SN001198,"be or get upset, sulky, sour",hoara_1,,,,emotions,,
SN001199,incorrect; wrong,hoara_2,,,,evaluation,,
SN001200,be/get upset about something,hoara_ni,,,,emotions,,
SN001201,bench used in the girls' initiation ceremony,hoavadana,,,90a0e7c004899cac2696c0c722f4fa5a ; 5b1592d8c6d86ac16719d3cf15e404e0 ; dbbc8d0a98f4d03a6bff350bd6230d2a,culture,,
SN001202,elevated section of the coral reef,hoavorana,,,2ebf6c0295daab5dd47a5e84f692a3a2,environment,,
SN001203,shirt; clothes,hobohoboo,,,,clothing & grooming,,
SN001204,(of a canoe) take on water,hobu,,,,boats & other means of transport,,
SN001205,(of a canoe) take on water,hobuhobu,,,,boats & other means of transport,,
SN001206,"kind of edible sea urchin with streaks of varying colours (red, black, yellow, white, purple) found in reefs.",hoe_1,,,54f7174b6c12c7e591aaadf36c81edff ; 4a24c4681ecc55b30ba781d00e7a91b3 ; 28c8cfe1ab622398cf503ae8fca51cb1,"animals, unclassified",,
SN001207,"scream (out of fear, shock, pain)",hoe_2,The object of <hoe> 'scream' is <bona gogoonae> 'his throat',,,communication,,
SN001208,snore,hogaga,,,,body & health,,
SN001209,push something,hogo_1,,,,transfer,,
SN001210,floor joist,hogo_2,,,,house,,
SN001211,"be crowded, overfilled, packed with things or people",hogo_3,,,,unclassified,,
SN001212,make the floor joists of a house,hogo_4,Similar to <taboo2> the transitive verb <hogo4> takes <a/bona inu> 'the house' as its object.,,,house,,
SN001213,insert something; push something into something,hogo_hopo_ni,,,,transfer,,
SN001214,"push, shove or stuff something somewhere",hogo_ni,,,,transfer,,
SN001215,bubble (of water coming through a small opening),hoho,,,,boats & other means of transport,,
SN001216,basket,hoi_1,,,020705c2ffc94a8a115692b8613adb5a,containers,,
SN001217,put something in a basket; fill something into a basket,hoi_2,,,,transfer,,
SN001218,kind of basket,hoi_siri,,,990d66d0e5c4a023ff653b958f15cf10,containers,,
SN001219,put things into baskets,hoihoi,,,,transfer,,
SN001220,put things into baskets and carry them home,hoihoi_voosu,,,6656d09ab9cb0b24a273f1e85361d80d,transfer,,
SN001221,"be too close to someone, be touching or pressing on someone's body (of people sitting side by side)",honin,,,,social interaction,,
SN001222,(of banana plants and a sugarcane species) bear fruit,honovo,,,988ddaa213c1bd40a349a9bc088c5b31 ; 276188de120dbdd59aa43b519efc490a,plants ; growth,,
SN001223,kind of needlefish,hoohoa,,,a0cfdbf49ba624b82a81c2e5d6b2e6d6 ; fd92382008aec639f0817d1d9ebdd9c6,"animals, fishes",,Belonidae
SN001224,trap fish in the hoohoo-basket,hoohoo,,,b0446cb8bdb900512c9af515c194bb04,fishing,,
SN001225,horse,hoos,,,0b6b172c78352e3268f599d574da765e,"animals, mammals",,
SN001226,"mature; ripe; ready to be harvested (only of sweet potatoes, manioc, taro and yams)",hooto,,,7f7458b4dfbf3bf7835d51e5f250aee5,agriculture ; plants,,
SN001227,Red Emperor,hoovu,,,62392c8b2961eb05eff08dd70848c88c ; e9cd6fdcf8c04e2cd1d89bff0538b44f,"animals, fishes",,Lethrinus
SN001228,"go into a narrow space or dense area (a cave, rock shelter, hole, hollow tree, the jungle); slip into a hole",hopo_1,,,,motion ; spatial relations,,
SN001229,hole; cave; rock shelter,hopo_2,,,,environment,,
SN001230,go into the bush and search for wild banana plant with black fibres,hopo_orovi,,,,motion,,
SN001231,go into a narrow place many times; slip into a hole many times,hopohopo,,,,motion ; spatial relations,,
SN001232,kind of Garden Eel; Conger Eel,hopohopovasu,,,0162981038fc914765482f65d82d241c,"animals, fishes",,Congridae
SN001233,kind of squirrelfish,hori,,,7312efd8f21889dc185f1fb171a12f53,"animals, fishes",,Holocentridae
SN001234,kind of squirrelfish,hori_metomo,,,85c8707b9555647580cfce84f4d045fb,"animals, fishes",,
SN001235,hurricane,horivana,<horivana> is personified in the examples below and shifted to the e-class of nouns.,,,environment,,
SN001236,punt a canoe,horo,,,,boats & other means of transport,,
SN001237,punt a canoe,horohoro,,,,motion ; boats & other means of transport,,
SN001238,enter a place; go into a place,hovo_1,,,,motion ; spatial relations,,
SN001239,"herd, flock",hovo_2,,,,"animals, unclassified ; groups & collections",,
SN001240,interfere with something,hovo_mi,,,,motion,,
SN001241,marriage custom of leading the woman to the man's house,hovo_otei,,,,culture,,
SN001242,go inside; go into ; enter (many times),hovohovo,,,,motion,,
SN001243,dig out sea-sausages; dig into the sand with a stick,hovu_1,,,e57a891074a7ed0b3080fe3df1e99812 ; 72e042e8e9bb3578cf41a67fc40c6fce,fishing,,
SN001244,husk a coconut; remove the outer covering of a coconut,hovu_2,,,6c013e0423de64aafcfc3d6dd146940c,plants ; food & drink,,
SN001245,stick something inside something else,hovu_hopo_ni,,,,transfer,,
