ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs
XV000515,tio,mea ba tamariori paa koara ri bari,,,but their fathers scolded them,,,Asu 01E(Eno) 135,SN000277
XV000516,tio,Bara o nagu vai saka mate haari a ba sinariori.,,,"Also, these orphans whose relatives (of the mother's side) have not died.",,,Mah Loa Vaa 04R(Loa) 084,SN000277 ; SN000279 ; SN002835
XV000517,tio,"... ere teiei a ba keara tean, ere teiei a ba vavinaman?",,,"(I am about to ask you,) who are you brothers, who are your sisters? (the addressee is a man)",,,Rum 01R 265,SN000278
XV000518,tio,Ei a meha bua ba keara tenaa. A meha e Pekaa a meha he Devita.,,,These are my two other brothers. One is Pekaa and the other one David. (said by a man),,,Rum 01R 271,SN000278 ; SN001865
XV000519,tio,A bero mee o manae vaa tea BRA na voosuvoosu vaha bata tea ba sinariori ae tamariori.,,,"Also, many boys of the BRA have returned home to their mothers and fathers.",,,Mah 13E(Eno) 486,SN000279 ; SN004031
XV000520,tio,A baaban na rahirahi koa raara bona sitiring ge tea ruuvu.,,,The Narrow-Banded Sergeant-Major is caught with a string or by diving (and spearing it).,,,Eno 11W 018,SN000281 ; SN003700 ; SN003927
XV000521,tio,"A baaban a iana a paru, eove he a rahirahi kakaavoo, na teitei nana teo vasu tea maa kopua. Beo puhana, ore paa tei rapana kasuana. Na aniani nana bona maa sii vahara katoo, kuruu ae amaa meha kaku taba vai to antee ri nae tea ani ae amaa nou vai to oro binubinu rori tahii. A iana bona a mataa, na aniani riori.",,,"The Narrow-Banded Sergeant-Major is a black fish, but it has white stripes. It stays in the stones in the lagoons. When it is high tide, it stays near the beach. It eats little crabs, snakes and other kinds of things that it can eat, and the rubbish that floats everywhere in the sea. This fish is good, it is eaten by the people.",,,Vaa 09W 028-033,SN000281
XV000522,tio,"Bean hua tahii tea boobon, ean repaa tara o baanun.",,,"When you paddle in the sea in the darkness, you see the sea-fireflies.",,,Sii 33W 018,SN000282 ; SN000561
XV000523,tio,"Bean hua tahii tea boobon, ean repaa tara o baanun. Na tara bata noman be vaakasi batana tahii.",,,"When you paddle in the sea in the darkness, you see the sea-fireflies. You see them glowing over the sea.",,,Sii 33W 018-019,SN000282 ; SN005264
XV000524,tio,"o toho tea beiko, o vahara baara, o vaataviri tea iravata",,,"toys for the children, little balls, propellers (are made of the leaves of the coconut frond)",,,Sii 16W 077-078,SN000283 ; SN004931 ; SN005509
XV000525,tio,"Baara, na paku vonaen.",,,"Well, it is like this.",,,Tah 03R 005,SN000284
XV000526,tio,"... bona maa taba to hae bata mi maa nom naa, teo baasi.",,,... the things that I brought with me on board of the barge.,,,Pur 01E(Joy) 039-040,SN000285 ; SN000977
XV000527,tio,"""Gaagin, a babaaru an, ...!""",,,"""Gaagin, (how) stupid you are, ...!""",,,Aro 05R 067,SN000286
XV000528,tio,Ean bene a babaaru!,,,How stupid you are!,,,Ter 01E(Eno) 101,SN000286
XV000529,tio,O vakokona o babaaru.,,,A stupid idea.,,,Pur 02R(Pur) 056b,SN000286
XV000530,tio,"... benam tagaa pinopino potee ri nom o aba o babaaru, ha?",,,"... while we stare into space like stupid people, ha?",,,Vos 01R(Vos) 288,SN000286 ; SN004391
XV000531,tio,E teiee a babaaru to paa ma teki vaha vuru bona mohina pauna teara ei?,,,Who is the idiot who came and again destroyed our banana garden? here?,,,Eno 01R 090,SN000287
XV000532,tio,O babaaru bene na unuun koa mi rohori tean!,,,This stupidity they just piled it up in heaps on you!,,,Aro 02R 061,SN000288 ; SN000448 ; SN004840
XV000533,tio,"E roosuu toku vaevuru, babaaru pinopino vaevuru gina.",,,"The giant was already at a loss, already shocked and confused high up (in the tree).",,,Jen 01R 067,SN000289
XV000534,tio,"Me Roosuu peana babaaru pinopino nana, a bua beiko he rosin gunaha maa,",,,"While the giant was shocked (and) confused, the two children fled downwards,",,,Jen 01E(Eno) 072,SN000289
XV000535,tio,"A bero amaa vuri saka babaitono haa anam tea tabae, enam na kokoara vaha bata kiria naba puana tea Gavaman.",,,Most of the time they did not listen to us because we also talked to the soldiers of the government.,,,Mah 13E(Eno) 131,SN000290
XV000536,tio,"Meori na babaitono bata ameam, o BRA?",,,"And did they listen to you, the BRA?",,,Mah 13R 0378,SN000290
XV000537,tio,To babaitono bata ni naa.,,,That's what I heard. (Many women were talking (about it).),,,Mah 13R 0684,SN000291
XV000538,tio,"enaa mee na babaitono bata ni roho a peha ruene to dao riori bona Jordan,",,,"I also had heard of a river that was called Jordan,",,,Sii Eno 01W 096,SN000291
XV000539,tio,"enaa paa tara mau amaa hum to babaitono ni roho naa,",,,"I had seen the places I had heard about before,",,,Sii Eno 01W 376,SN000291
XV000540,tio,"Horai: A puana he mei maana, ean na babaitono bata voen a puana pasi suguna voen Teapu?",,,"Before the war, did you hear that the war would come to Teop?",,,Eno Aro 01E 006,SN000292
XV000541,tio,"Arovi: Ahiki, enam na babaitono koa voen a abana na puana rori.",,,"No, we only heard that people were fighting (somewhere).",,,Eno Aro 01E 007,SN000292 ; SN003593
XV000542,tio,"Enaa mee na babaitono bata vo roho en e Jisu a too Nazaret,",,,I also had heard that Jesus was a man from Nazareth.,,,Sii Eno 01W 100,SN000292
XV000543,tio,"Beo bakubaku kare vahuhu maari, ore paa dao ri bari bono babakui. Beori o rutaa ore paa tei koari tea maa kopua. Beo puhana, ean repaa tara riori teo kakaamuru ae rapana kasuana.",,,"When the sharks are just born, they are called babakui. When they are little, they stay in the lagoons. When it is high tide, you can see them on the white sand and near the beach.",,,Vaa 09W 035-037,SN000293
XV000544,tio,A sii babakui paa onau tea kave. Tahi a sii babakui bono sikiri tean.,,,A small shark got trapped in the net. Spear the small shark with your spear.,,,SiiSen 01W 033-034,SN000293 ; SN003081 ; SN003999 ; SN004429
XV000545,tio,Meo matavusu paa babanihi.,,,And the door shut.,,,Mat 01E(Joy) 043,SN000294
XV000546,tio,A inu bona a babanihi vaovoi.,,,That house was always shut.,,,Mah Loa Vaa 04R(Loa) 036,SN000294
XV000547,tio,... ei kou amaa inu vatagae na babanihi roho suku bona hiki marasin.,,,... because the hospitals had been closed because of the lack of medicine.,,,Pur 02E(Eno) 005,SN000294 ; SN001127 ; SN001408 ; SN002466 ; SN004192
XV000548,tio,O babanihi no matavus tenam paa taketau. Dadao nae Matiu ore ma tatapa vahaa bona.,,,Our door is loose from its hinges. (lit. The door panel of our doorway is loose.) Call Matthew to nail it again.,,,SiiSen 01W 035,SN000295 ; SN004769
XV000549,tio,O babanihi o taba to sunsun pina nana bono matavus.,,,The door panel is the thing that blocks the entrance.,,,fieldnotes Eno 001,SN000295
XV000550,tio,"E subuava paa babara kurusu, ...",,,The old woman was very shocked ...,,,Aro 01E(Eno) 074,SN000296
XV000551,tio,Me teo peho bon menam paa babara koa a tau puana vaa Japan he ma suguna en teara ei Teapu.,,,"And one day, we were just shocked when the Japanese soldiers arrived here in Teop.",,,Eno Aro 01E 008,SN000296
XV000552,tio,Bea barii a rutaa na dao raara bona babarii.,,,"When the drummer is small, we call it babarii.",,,Eno 11W 267-268,SN000297
XV000553,tio,"A babarii a rutaa na barii vai a beera. Na paku vonaen: babarii, barii, haehae. Amaa iana vai na tei me rori bona maa ipinoo ri ori. A ipinoo na barii a vaabeera. A ipinoo na haehae he a beera.",,,"The young drummer is smaller than the adult one. The sequence is like this: babarii, barii, haehae. These fishes have each their particular size. The barii drummer is middle-sized. But the haehae drummer is the biggest one. (lit. But the size if the haehae is big.)",,,Sii 46W 001-006,SN000297
XV000554,tio,O ohita teori he na tei nana o bae.,,,"But their galip nut tree, there was a taboo sign (on it).",,,Aro 12R 005,SN000298
XV000555,tio,"O ohita teori he o bae, na bae ni roho ori.",,,"But their galip nut trees were taboo (for everybody else), they had put a taboo on them.",,,Aro 12E(Joy) 002,SN000299 ; SN000302
XV000556,tio,"Tabae, eara sa vasisio haa ni rara a bae.",,,It is because we don't respect the taboo.,,,Vaa Mah 01R 453,SN000300
XV000557,tio,Mea hum to goroho nae maurata a bae.,,,And the place where the maurata girl sleeps is an enclosure. (i.e. the girl that goes through the initiation practices),,,Kor 01R 070,SN000301 ; SN002553
XV000558,tio,"A taem vaa tea vaaupee, a abana dee vai maa bona bae.",,,"At the actual time of the initiation ceremony, the men would bring the makeshift enclosure.",,,Kae 03R(Kae) 056,SN000301
XV000559,tio,"O tobara upee toro vaagum rori tea bae teori, a ororo teori,",,,"The upee boys must be together in their bae (enclosure), their territory (lit. fence),",,,Mah 02R 044,SN000301 ; SN004918
XV000560,tio,Eori toro bae ni maa roho to peho ohita teori.,,,They will have to put a taboo on one of their galip nut trees. (i.e. nuts from a certain galip nut tree are forbidden to be picked for a certain period of time or until the taboo is lifted.),,,Vaa Mah 01R 118,SN000302
XV000561,tio,"Bean tara maa amaa pusu naono vai to vahuhu rio eova, ean na antee nom tea bae pina ni maa o pusu naono bona.",,,"When you see tree stumps where the eova birds have laid eggs, you can put a taboo sign on that tree stump (so that nobody is allowed to take the eggs).",,,Sii 2008W 035,SN000303
XV000562,tio,Kahi bae taviri rori bono hum to kahi tii riori.,,,They will build an enclosure around the place where they will be staying.,,,Kae 03R(Kae) 059,SN000304
XV000563,tio,O paka baea na rakoto nana suin raara ore paa kamis. O paka baea a aito vaa tea paku vaavisoas.,,,The leaves of the baea are sticking on our body so that it hurts. The baea leaves are medicine for making a youth attractive for women.,,,fieldnotes 2008,SN000305
XV000564,tio,Ean toro baebae amaa hian pauna to mene para vaameapa a roava.,,,"You must shield the bunches of bananas, otherwise the sun will shine on them and cause them to become soft.",,,SaoSen 01W 006,SN000306
XV000565,tio,Baebae a mataman bono haata.,,,Shield your eyes with a hat.,,,SaoSen 01W 007,SN000306
XV000566,tio,"A vagegeana kiu, bean vaahae o baeke kaura tean tea kaara.",,,The last work is that you load your bag of copra on the truck.,,,Joy 17W 176,SN000307 ; SN005629
XV000567,tio,Bea kaara nomaa ean repaa vaaruhana amaa baeke kaakau.,,,"When the car comes, you will load the bags of cocoa.",,,VaaSen 01W 689,SN000307 ; SN000308 ; SN005446
XV000568,tio,Murinae ean repaa baeke eve.,,,After that you put it (the copra) into bags.,,,Joy 17W 173,SN000308
XV000569,tio,"Menam paa gono a buaku a tarakta, ae a baere vai murinae,",,,"And we got two tractors with a hoe in the back,.",,,Pur 01E(Joy) 209,SN000309
XV000570,tio,A kurina baere tenam a takaku.,,,The handle of our hoe is broken.,,,fieldnotes 006,SN000309
XV000571,tio,Baere kaakoo en benaa baere kaakoo bata nom tea meha papana.,,,"Hoe (make mounds) on this side, while I hoe on the other side.",,,fieldnotes 007,SN000310
XV000572,tio,"Enaa hino vai o vaagum moon tenam, ei beori ante rori tea haihai anaa tea baere bona vavaasi.",,,"I ask our group of women if they can help me to hoe the cleaned area (, i.e. to make sweet potato mounds with their hoes).",,,Sii 20W 011,SN000310
XV000573,tio,"O vahutate ne baesusu. A peha kaku vagana, na pokaa ria ta Teapu bona vunuu hata.",,,"The story about the baesusu. A kind of fishing, the Teop people call ""bad hair"".",,,Tah 05E(Joy) 001-002,SN000311 ; SN001045 ; SN006642
XV000574,tio,A hena na kave na dao riori bona baesusu. Ahiki ta taba to vaaponisi nana bona.,,,The name of the net is baesusu. There is nothing to weigh it down.,,,Tah 05E(Joy) 003,SN000311
XV000575,tio,"A kave bona ahiki to koriitoo, evehee o poosusu koa to paku raara bona ogaoga. A peha aba koa to antee nana tea vagana ni bona kave bona. Eara na vaasun rara o buo boon, eara repaa pam nio buo punete kave teebona. Eara na antee rara tea kao kahie, eara repaa ma ira mana vahaa. O iana to hanahana rori, eiei o iana to vavaavihi rori ei hoohoa, ponpon, a anahi ae a paroparoo.",,,"This net does not have cowrie shells (attached to it), but the fruit of the sea poison tree that are made into floaters. A single person can fish with this net. We put up two mangrove poles (in the water), and then we tie the two edges of the net to it. We can go away and leave the net by itself and then come back later and check it again. The fish that are caught in the net are those fish that travel, that is the hoohoa needlefish, the ponpon needlefish, the mullet, and the young trevally.",,,Eno 16W 020-026,SN000311
XV000576,tio,"O naono vai o bai o beera. O bai na vuavua nana, bean tara be hiiruu, ean paa kona kahi vua nana.",,,"The mango tree is big. The mango tree has fruit. When you see it blossoming, you know that it it will bear fruit.",,,Joy 12W 019,SN000312
XV000577,tio,"O vua bai na tei mi nana bono vua komanae, a hena nae o papasuu. O vua bai na aniani riori, eori repaa busu ni bono vua vaa komanae. O vua vaa komanae to nebaneba ni riori. O naovana mee, o rakerake ani bai.",,,"The mango fruit has a stone (lit. fruit) inside, its name is papasuu. They eat the mango fruit, and then they throw the stone that is inside away. The stone inside is planted. The birds, too, like to eat mangoes.",,,Joy 12W 023-028,SN000313
XV000578,tio,A bai tenaa a vuri.,,,My mango is ripe.,,,Sii 15W 009,SN000313 ; SN006657
XV000579,tio,O bai vai o kaapaa na rake nom naa tea ani.,,,The sweet mangos I want to eat.,,,Sii 15W 010,SN000313 ; SN001464
XV000580,tio,"O bai vaoi he o mamaen, be vuri, ore paa kaapaa bara ore paa hunuhunuana ei eara repaa rake manae.",,,"But those mangoes are bitter. When (they) ripen, they become sweet and full of juice, so that we eventually like them.",,,Sii 15W 011,SN000313 ; SN001321 ; SN001322 ; SN002392
XV000581,tio,"O kehaa vai o tara vamanini. A kapa nae na riirihi tomtomon batana. O baibai na nahunahu riori, eori repaa ani mana bona komanae. A meha papana na ani vakamis komana ni rori bari.",,,"This shell looks beautiful. Its shell has orange stripes. They cook the Cradle Donax Clam, then they eat its inside. Others get stomachaches from eating them.",,,Sii 45W(Joy) 023-027,SN000314
XV000582,tio,Enaa paa baitono eve he kusu maa bona karavona!,,,I heard him crunching the lobster!,,,Mor 03R 050,SN000315 ; SN002295
XV000583,tio,"""Goe rakahai tea baitono!""",,,"""Do not at all listen to him.""",,,Aro 05R 086,SN000315
XV000584,tio,Meori paa baitono bono moroko.,,,And they listened to the speech.,,,Iar 02RG 141,SN000315 ; SN002727
XV000585,tio,"A baitono vakavara koa, mepaa hua voosu.",,,"When he had finished listening, then he paddled home.",,,Tah 05R 060,SN000315
XV000586,tio,Ean he toro baitono inana rakaha amanaa!,,,But you must listen well to recognise me!,,,Aro 14E(Eno) 019,SN000316
XV000587,tio,E Masiarapuu na baitono inana maa bene sinanae.,,,Masiarapuu listened (and) recognised her mother.,,,Aro 14E(Eno) 029,SN000316 ; SN001385
XV000588,tio,"(Kuroii) Bea moon tau gigo vataneo, ore paa oga, ei eara repaa baitono inana rara a oga teve.",,,"(Owl) When a woman is in the beginning of her pregnancy, it cries so that we recognise its cry.",,,Sii 2008W 100,SN000316 ; SN000852 ; SN006216
XV000589,tio,"E Moogee he baitono ni bona koara vai, ...",,,Monkey heard this voice,,,Val 02E(Eno) 045,SN000318
XV000590,tio,"O peho vahutate na baitono ni roho nam voen, eam na pahana vai bata roho nom a ruene a urunata he dee vaha maa murimeam.",,,"We heard the story that when you had crossed a river, a flood came after you.",,,Eno Aro 01E 055,SN000318
XV000591,tio,... amaa ta hagi vai to paa sue nom nai. Saka bin baitono vakis niori.,,,... the kind of dance I was talking about. They haven't heard about it yet.,,,Vaa Mah 05R 094-095,SN000318
XV000592,tio,a tavaan repaa nomaa tea baitono sue,,,and the people came to hear what they had to say,,,Sii 45W(Joy) 234,SN000319
XV000593,tio,"Vaaherehereke e Taapii, ahiki be baitono sue. Na vaanagu sue nana tere sinanae bo tamanae.",,,"Punish Taapii, he does not obey. He turns a deaf ear to his mother and father.",,,Sii 29W 019,SN000319 ; SN005350
XV000594,tio,"ei kou na baitono vamanemanee maana, a tanihi na koara na vaavaha ni naona.",,,"because (she) could not identify the voice, the sound of the voice was different from (her mother's). (lit. listened without recognising)",,,Aro 14E(Eno) 048,SN000320 ; SN005879
XV000595,tio,"O buhin o vavaapeo, eara saka antee haara tea baitono vamataa.",,,"The Metallic Starlings are noisy, we cannot listen to them with pleasure.",,,Sii 43W 037,SN000321 ; SN000593 ; SN006334
XV000596,tio,Enam he baitono vatamaka ni o hutate na tootoo teve.,,,When we heard the story of his life and felt very sorry for him.,,,Sia 01E(Joy) 057,SN000322 ; SN001326 ; SN006208
XV000597,tio,"Bea babakui beera, dao vai ori bona bakubaku, na tei nana o buaku o kaku bakubaku. A peha na dao riori bona ramerame suvahi. A meha he na dao riori bona bakubaku aasun. A bua bakubaku vaarii na aniani ria tavaan, a bua vaorete a bua mataa.",,,"When the baby shark has grown up, they call it bakubaku. There are two kinds of shark. One is called suvahi-licker, the other one tuna-shark. The two kinds of shark are eaten by the people; the two kinds of meat are good.",,,Vaa 09W 039-044,SN000323
XV000598,tio,"Bero a maamihu kaku bakubaku. A meha a beera sana to aniani aba nana. Amaa meha saka beera vira haari. Amaa meha amaa vaamanae, eara o aba to ani rae. A peha bakubaku na tei me nana bono buaku totoka o kekeetoo. O buaku matana, o meho buaku komanae, o meho buaku paana vihinae, o peho hee toon nae.",,,"There are many kinds of shark. There is a very big one that eats human beings. Others are not very big. The young ones, it is us, the human beings, who eat them. A shark has seven fins. Two are in the front, two others at its belly, another two under its tail, and one on its back.",,,Sii 46W 145-150,SN000323
XV000599,tio,"A bakubaku na gono raara tea araa ge tea kave ae tea tahitahi. O hum teitei teori tamuana ei namana, amaa peha sii vuri koa eara repaa tara riori tea maa hanataana teo puhana vai o beera. A tabaan teori a iana komana vahaa a rutaa ge a beera.",,,"We get the shark by fishing with a rod or by netting and by spearing. Their permanent habitat is the deep-sea, only rarely we see them near the beach at high tide. Their food are small and big fish.",,,Eno 11W 020-024,SN000323
XV000600,tio,O bakubaku aasun na teitei koari namana. O bakubaku na aniani rori bono vahara iana vaarii to teitei bata rori namana. Na aniani bata rirori bono aasun mee ae o meho iana vaarii to antee ri riori tea ani.,,,"The tuna-sharks only stay in the ocean. The sharks eat the fish that also stay in the ocean. They eat the tunas, too, and those other fish that they can eat.",,,Vaa 09W 046-048,SN000324
XV000601,tio,Naa kahi gono vuo balus subunubu Buka.,,,I would catch the plane tomorrow in Buka.,,,Pur 02R(Pur) 091,SN000325 ; SN006648
XV000602,tio,Enam tau nao bana tahii.,,,We are about to go to the sea again.,,,Aro 05R 150,SN000326 ; SN004785
XV000603,tio,Ah! Ean na piku bana nom!,,,Ah! You are lying again!,,,Aro 05E(Eno) 125,SN000326 ; SN003452
XV000604,tio,A takaha takaha vai bana.,,,Then dawn broke again.,,,Aro 04R 072,SN000326 ; SN004462
XV000605,tio,"Bea sivao maaraa bana maa tea bon ei, eara repaa vaagoagon gunaha bana roho tea vasisira vahaa tea neba to paa paku vuru maara.",,,"When the moon shines again tonight, let's stroll down again to inspect again the plantation we have made for us.",,,Eno 01E(Eno) 032,SN000326 ; SN002336 ; SN002339 ; SN002947 ; SN005182 ; SN006164
XV000606,tio,"Rava vakavara, vaatei a mata goroto teo bana.",,,"After having heated them up, put the turtle pieces on a mat.",,,Naph 01W 048,SN000327 ; SN002488
XV000607,tio,Bana e ta kapa bono karirava.,,,Spread the karirava leaf on the piece of sheet metal.,,,Hel 01RG 029,SN000328
XV000608,tio,E ta kapa pasi bana raara bono karirava,,,"The piece of sheet metal, we spread the karirava leaf (on it).",,,Hel 03R 024,SN000328
XV000609,tio,Meori paa no suguna mohina. Me sinana beiko paa bana ki bona beiko.,,,And they arrived in the garden. And the child's mother spread (leaves or a sarong) for the child (and let him sit there and started to work),,,Siv 01E(Eno) 019-020,SN000329
XV000610,tio,a maamihu taba avuavuhu kahi bana ni riori tea teebana,,,all kinds of scented leaves they will spread on the bed,,,Vos 03R(Vos) 138,SN000330 ; SN004339
XV000611,tio,"Ahiki to vonaha. Bana nio ravarava, ean re goroho nie.",,,"There is no mat, spread out a sarong and sleep on it.",,,Sii 29W 013,SN000330 ; SN000920 ; SN003764 ; SN006557
XV000612,tio,"Beori vauvuuvu vakavara bari, eori repaa bana ni taovu teo kasuana.",,,"When they have finished decorating him or her, they spread a pandanus-hood on the ground.",,,Kor 01E(Eno) 029,SN000330 ; SN006299
XV000613,tio,Eara pasi moroko vaaruu ni rara o naono banabana. O naono bona o bebeera. Na ubiubi raara a kakaroro nae mene vaanoto suraa teo vuri beara nahunahu rara. A rom nae na kopakopaa riori mene sibono kaakau.,,,We'll talk about the banabana now. This tree is very big. We cut its dry twigs for lighting the fire when we cook. Its stem is cut by longitudinal cuts for drying cocoa.,,,Sii 17W 149-151,SN000331
XV000614,tio,"O banabana na vuavua batana mee. O vua nae na potee nana bono rambutana, na toutou vareko batana mee.",,,"The banabana also bears fruit. Its fruit is like the lychee, it is also a bit prickly.",,,Sii 17W 152,SN000331 ; SN006615
XV000615,tio,"Goe tea osi o gosi, osi maa amaa paka banata.",,,"Don't pick the new leaves, pick the mature thick leaves.",,,Eno 19W 004,SN000332 ; SN000927 ; SN003131
XV000616,tio,Kosi maa o paka baneo vai o paka banata.,,,Cut these mature breadfruit leaves.,,,Ond 01W 012,SN000332 ; SN002218
XV000617,tio,Rapana inu teori na tei nana o baneo.,,,Near their house there was a breadfruit tree.,,,Jen 01R 003,SN000333 ; SN001388 ; SN003742
XV000618,tio,"O naono vai o baneo na tei rori amaa hena to vahehena ri raara ori. Amaa baneo vai to aniani ri raara, ei amaa hena riori o kave, o vaagoveeguu, ariarikoo bara maa meha vakis.",,,"This tree, the breadfruit tree, there are several names that we use for them. The breadfruit trees whose fruit we eat have the following names: kave, vagoveguu, ariarikoo, and still others.",,,Sii 17W 158-159,SN000333
XV000619,tio,"Teara en tahii bara vahiava, a tabaan teara a baneo.",,,"For us coastal and mountain people, our food is the breadfruit.",,,Sii 17W 156,SN000334
XV000620,tio,"A baneo a vaakororovi koa, evehee na toutou vareko batana a kapa nae.",,,"The breadfruit is round, but its skin is a bit prickly.",,,Sii 17W 157,SN000334
XV000621,tio,"Baneo: A kapa nae a pereperee, a komanae he a kasikasiree bara na tei me nana bona arikoo.",,,"Its skin is green, its inside is yellow and has the arikoo (the breadruit seed).",,,Sii 25W 001,SN000334
XV000622,tio,Nomaa are nao tea kovata amaa baneo teara,,,"Come, let us go to roast our breadfruits over the fire.",,,Sii 17W 164,SN000334 ; SN002233
XV000623,tio,"O baneo vai o visoasi, o baneo vai o kare pura, to mei nana tea manoto.",,,"A young breadfruit tree is a breadfruit tree that has only recently started growing, that is not yet mature.",,,Sii Tav 01E(Joy) 001,SN000335 ; SN001755 ; SN002426 ; SN006514
XV000624,tio,"A naono baneo vai a rutarutaa na mataa nana, suku bona na kobusu nana me na antee nana tea tahihi vamataa.",,,The small breadfruit trees are good because they are moist and the fibres can easily be peeled off.,,,Sii Tav 01E(Joy) 012,SN000335 ; SN004439
XV000625,tio,"Amaa banis na daodao roho ori bona Number One, Number Three, Number three, ae Number Four.",,,"The paddocks were called Number One, Number Three, Number three, and Number Four.",,,Hoa 02E(Joy) 010,SN000336
XV000626,tio,"A banis guu na sun nana rapana hanana, a banis guu tenam.",,,"The pig's fence stands by the side of the road, it is our pig's fence.",,,SaoSen 01W 008,SN000336
XV000627,tio,A peha vasu to hio batana teo kepakepa vaa namana. Eta vasu bona na dao riori bene ta bano. Eta vasu bona na vakepaa nana.,,,"A stone that sits on the coral cliff that drops into the ocean. This piece of stone is called ""bano"". This piece of stone has the shape of a plate.",,,Sii 47W 126-127,SN000337
XV000628,tio,"Peho vuri menaa paa moroko kirio beiko tenaa, bara banoasi ne Sookara.",,,One day I talked to my children and Sookara's relatives.,,,Sia 01E(Joy) 204,SN000338 ; SN001981
XV000629,tio,A banoasi na otei repaa gono me bene guu bono mago geo kuriri.,,,The man's relatives got bats' teeth or shell money with the pig.,,,Joy 26W 087,SN000338
XV000630,tio,... amaa banoasi na moon ore paa kabuu.,,,... the women´s relatives then prepare the feast.,,,Daa 01R 061,SN000338
XV000631,tio,A abana na taraha rori bona maa bao.,,,The men carve their spinning tops.,,,Vaa Mah 01R 026,SN000339
XV000632,tio,"Beori tara bona peha visoas be bao vohara, eori repaa boha voen, 'ahiki, ean toro bao voenei.",,,"If for instance, they saw a young man spinning the spinning top incorrectly, they would advise him saying, ‘no, you must do it this way (with this spinning technique).",,,Vaa Mah 01R 023,SN000340
XV000633,tio,O baono mee o meho kaku voi. Eove mee o puara. Na pura pinopino batana tea maa apao.,,,The baono is a kind of yam. It is also wild and grows everywhere without care in the old gardens.,,,Joy 19W 007-009,SN000342 ; SN003626
XV000634,tio,"O kara no baono o toutou. Bean ato vahoara o toutou nae, ean repaa kamisi oha.",,,"The vine of the baono is prickly. If you accidently touch its prickles, you will have great pains.",,,Joy 19W 010-011,SN000342
XV000635,tio,"O kururu vai na baoru vamataa kurus nana, gara are nove nia kave teebona.",,,"This bamboo is well bent, let us tie the net to it.",,,Eno 19W 002,SN000343 ; SN003029
XV000636,tio,A toon ne sumeke na baoru vasiihum nana.,,,The old man's back is a bit bent.,,,Eno 19W 003,SN000343
XV000637,tio,Me roosuu paa vavaantee bona kave to antee nana bono baoru.,,,And the giant made the net big enough so that it fitted the bamboo frame.,,,Sii 06RG 084-086,SN000344
XV000638,tio,"""eara pasi naou tea mosi baoru""",,,"""We will go to cut the baoru bamboo.""",,,Sii 06RG 090,SN000344
XV000639,tio,"""Paa mosi baoru, meori paa vaaraka habana.""",,,"""(They) cut baoru ('bamboo') and they dried it again.""",,,Sii 06RG 094,SN000344
XV000640,tio,A mohina kaukau te Teva na baoru rakaha nana.,,,The Teva's sweet potato garden grows plenty of leaves.,,,Ond 01W 015,SN000345
XV000641,tio,a ta tahii bara ta vahiava,,,the coastal people and the mountains people,,,Nah 01R 025,SN000346
XV000642,tio,"Rosin tagihu, enam bara maa meha pastor vaa Solomon",,,"(We) fled into the bush, we and other pastors from the Solomon Islands",,,Mor 01R 085-086,SN000346
XV000643,tio,"O manii na aniani rori bona vua naono vai amaa pepeesi, ei a vua ruhu bara veresun.",,,The possums eat sour fruit like the fruit of the ficus tree and the wild banana.,,,Sii 09W 021,SN000346 ; SN002418 ; SN003403
XV000644,tio,"Ahiki, a kuruu bara a aniani aba mee.",,,"No, (he's) a snake and also a cannibal.",,,Nah 02E(Eno) 045,SN000346
XV000645,tio,"""A beiko a ponoto bara paa beerau mee,",,,"""The child is fat and also has grown up,",,,Skae 02W 091,SN000346
XV000646,tio,"Bara, gunaha en rau!",,,"Alright, get down here!",,,Sii 06RG 256,SN000347 ; SN000738 ; SN000738
XV000647,tio,"Bara, mataa nana.",,,"Alright, its's good.",,,Vae 01E(Eno) 206,SN000347
XV000648,tio,Ei kou na barabarana nana.,,,"(The wood of this tree, the vaahii, does not burn well.) Because it very soft wood.",,,Sii 15W 160,SN000348
XV000649,tio,"Amaa ta barabarana, amaa ta paruparu.",,,The black pieces (of the charcoal) of soft wood.,,,Mah 02R 073,SN000348 ; SN004283
XV000650,tio,E ta naono vai e ta barana saka asi vamataa haana.,,,A piece of soft wood does not burn well.,,,SiiSen 03W 012,SN000349
XV000651,tio,Goe tea vaamahan sana bata o baranda eara mene kom hopo vahoara nia moo raara.,,,"Do not leave any spaces in the floor, otherwise we might accidentally step with our foot into it.",,,Eno 13W 077,SN000350 ; SN005316 ; SN005867
XV000652,tio,Parata a bararaa tean.,,,Open your umbrella.,,,fieldnotes 008,SN000351 ; SN003279
XV000653,tio,O itoovi o kaaraa nae o kakaavoo. Be pura hiava ore paa potee bona bararaa.,,,"The cap of the itoovi mushroom is white. When it grows up, it looks like an umbrella.",,,Joy 12W 085-086,SN000351
XV000654,tio,O korosu te Linet o bararaka.,,,Linet's skirt is wide.,,,SiiSen 01W 038,SN000352 ; SN002210
XV000655,tio,O aheahe tea otei na bararaka maana.,,,The man's singing is croaky.,,,SaoSen 01W 009,SN000353
XV000656,tio,O bareru na purapura nana rapana kasuana.,,,The poison bulb usually grows near the beach.,,,Ond 01W 078,SN000354
